outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,774,38900,12,38,2,286544.19,21,4.125
0,742,11244,0,41,2,397953.76,18,4.125
0,806,41180,0,35,2,322124.57,20,3.75
0,814,36084,0,44,1,542282.61,17,3.75
0,768,31084,0,43,1,486531.46,15,3.875
0,794,16740,25,17,2,318396.05,22,3.875
0,759,41740,0,26,2,529466.59,22,4.25
0,638,36084,0,44,2,437428.56,10,4.25
0,778,29404,0,25,1,378000,4,3.99
0,772,28140,30,38,2,357125.69,18,4.375
0,742,40140,25,30,2,394199.58,19,4.125
0,808,16974,0,50,1,57244.32,17,3.75
0,751,39340,0,34,2,285863.33,23,3.75
0,699,-1,30,25,1,199350.58,15,4.25
0,815,19740,0,36,1,64924.86,25,4.25
0,724,42200,0,44,2,559000,6,4.125
0,722,36740,0,38,1,95847.1,23,3.625
0,778,45540,0,42,1,224904.32,17,4.375
0,709,38060,30,48,2,288812.62,15,4.375
0,686,36084,0,28,1,447723.27,16,4.089
0,686,42644,0,45,2,249012.08,21,4.5
0,680,11244,0,35,2,252150.33,11,4.75
0,727,36084,0,29,2,408710.66,20,4.282
0,752,44700,0,31,1,200502.36,21,3.25
0,799,-1,0,20,1,163708.08,24,3.99
0,731,17820,30,44,2,251325.62,16,4.125
0,795,16740,30,40,1,205490.71,10,4.375
0,785,33460,30,26,2,209000,3,4.125
0,642,40140,30,42,2,373000,5,4.25
0,743,41180,0,32,1,319187.57,21,4.25
0,686,19740,0,45,2,414000,1,4.25
0,755,18140,0,44,1,127985.53,9,3.875
0,718,13740,30,42,1,138498.23,11,3.875
0,707,47664,25,34,1,326000,5,4.625
0,726,18140,0,43,2,296630.89,12,4.55
0,693,18140,25,44,1,316162.33,24,4.875
0,746,47894,30,36,2,403001.93,24,4.625
0,793,33124,0,38,1,235190.5,15,4.55
0,763,16974,30,34,2,194131.88,21,4.875
0,810,29820,0,49,1,244673.98,14,4.55
0,762,40380,30,27,2,187806.28,24,4.75
0,681,33124,30,36,1,118344.98,19,4.375
0,796,46520,0,22,2,453949.91,24,4.125
0,802,40900,0,41,2,390201.98,8,4.125
0,716,41884,0,44,2,479238.88,21,4.25
0,775,-1,0,42,2,269972.83,13,4.375
0,787,38060,0,27,2,244344.76,9,4.18
0,739,40140,0,34,1,276000,5,4.125
0,780,12060,0,43,1,106136.96,12,4.25
0,788,16740,0,44,1,137469.46,14,4.375
0,755,47664,0,20,1,127983.05,25,4.375
0,777,39580,0,41,2,215085.58,21,4.25
0,740,47664,0,40,2,97087.05,15,4.875
0,769,49020,0,33,1,130441.7,20,4.55
0,734,14740,0,27,1,345324.83,19,3.99
0,766,40900,0,33,1,444984.21,9,3.99
0,747,23104,30,40,1,103000,5,4
0,763,38060,0,36,1,217304.87,19,3.75
0,785,37964,0,44,2,395346.87,21,3.75
0,673,24340,0,38,1,244000,7,4
0,797,39580,0,16,2,268603.46,19,3.75
0,727,41740,0,35,2,328601.24,21,3.75
0,797,47894,0,44,1,165305.27,20,4.125
0,699,33124,0,30,1,156608.86,21,4.5
0,753,17140,25,37,1,165736.36,15,4.375
0,780,35614,12,37,1,279710.67,23,4.125
0,760,31084,0,30,2,282809.48,16,3.125
0,785,40900,0,19,2,281000,4,3.25
0,764,38060,25,41,1,133916.83,24,3.125
0,777,31540,0,29,1,253597.81,20,4.125
0,793,12580,0,29,1,304486.1,9,4.125
0,775,16740,0,37,1,364663.83,18,4.125
0,712,31084,0,23,2,384263.12,12,4.375
0,788,29404,25,29,2,208000,2,4.5
0,761,22744,0,45,1,405235.4,20,4
0,791,41500,0,41,2,411447.98,25,4.375
0,696,36084,25,36,2,331000,21,4.75
0,713,41620,0,25,1,568000,6,4.375
0,809,24420,0,18,2,139000,4,4
0,694,15764,0,42,1,378012.72,16,3.125
0,779,20994,0,28,1,258830.1,19,3.25
0,802,16974,0,8,1,383509.19,17,3.625
0,767,42220,0,50,2,373975.57,20,4.125
0,620,-1,0,29,2,450460.13,9,4.875
0,740,16974,0,47,2,394804.45,13,3.75
0,771,12060,0,30,1,190847.05,8,3.75
0,790,22540,0,32,1,334012.5,13,4
0,750,42644,25,47,1,489962.41,14,4.625
0,809,19124,0,18,1,71684.02,14,4.375
0,773,41180,30,34,1,115571.65,19,4.25
0,716,19804,30,21,1,259095.02,23,3.75
0,804,36084,0,21,2,19354.38,22,3.875
0,735,15764,0,17,1,305192.44,8,4.625
0,781,19740,0,21,2,372696.56,20,3.75
0,689,26420,0,18,1,120395.78,19,3.25
0,682,39340,25,39,2,255982.71,22,3.625
0,733,26420,0,34,2,162369.47,15,3.5
0,797,31084,0,50,2,172716.96,21,3.25
0,694,-1,30,38,2,400527.38,13,4.125
0,719,-1,30,44,2,82999.22,19,4.25
0,813,31084,0,35,1,405393.81,18,4.125
0,715,24340,0,23,1,65974.95,23,3.5
0,716,38060,0,17,1,189777.98,25,3.375
0,742,40140,0,38,1,192379.96,19,4
0,741,47664,30,21,2,252199.99,19,3.75
0,802,41940,0,23,1,538989.54,19,3.875
0,806,-1,0,14,1,37696.06,14,3.125
0,748,-1,0,31,2,151038.12,8,2.875
0,762,36084,0,19,2,215010.88,9,3.75
0,803,31140,0,34,2,12000,6,3.25
0,720,35614,0,45,2,334656.83,22,4.25
0,781,23104,30,44,1,154407.47,18,3.93
0,794,-1,0,28,1,219656.41,16,2.875
0,638,47664,0,43,1,371255.89,9,4
0,731,38900,0,34,1,295024.64,16,3.25
0,706,36084,0,44,1,327827.68,16,3.25
0,798,15804,0,40,2,149984.44,17,3.375
0,783,40140,0,40,2,154179.56,21,4
0,648,47664,25,22,1,218000,7,3.375
0,794,40140,0,27,2,408779.38,13,4.25
0,816,33874,0,27,1,161582.36,23,3.625
0,779,40140,0,33,2,116772.43,13,3.75
0,786,29820,0,30,1,150717.52,15,3.25
0,734,42220,0,22,1,222392.56,22,4.125
0,806,19124,0,20,2,114000,2,3.375
0,763,12060,0,42,1,4415.29,21,3.75
0,648,-1,0,43,1,71738.3,19,3.125
0,745,-1,0,40,1,76163.91,9,2.875
0,802,39340,0,11,1,209308.92,20,3.875
